seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
24,380,2,0.01,100,5945,0.25,0.9993849992752075,0.0006247399142012,0.024994797742754392,0.13879041373729706
25,380,2,0.01,100,5945,0.25,0.9986904859542847,0.0013302373699843884,0.03647241930533795,0.21747377514839172
26,380,2,0.01,100,5945,0.25,0.9991154074668884,0.0008986140601336956,0.029976892102646258,0.17091678082942963
27,380,2,0.01,100,5945,0.25,0.9971372485160828,0.0029081027023494244,0.05392682729726851,0.18251757323741913
28,380,2,0.01,100,5945,0.25,0.9989284873008728,0.0010884545044973493,0.032991733881342904,0.16847312450408936
29,380,2,0.01,100,5945,0.25,0.9994736313819885,0.0005346725229173899,0.02312298689437396,0.09972929954528809
30,380,2,0.01,100,5945,0.25,0.9977900981903076,0.002244864124804735,0.0473799970958709,0.1895742565393448
1,380,2,0.01,100,11891,0.5,0.9987204074859619,0.0012998523889109492,0.036053465699027454,0.14301533997058868
2,380,2,0.01,100,11891,0.5,0.9993939399719238,0.0006156357703730464,0.024812008592071833,0.1785924881696701
3,380,2,0.01,100,11891,0.5,0.9994354844093323,0.0005734389997087419,0.023946586389478185,0.10376741737127304
4,380,2,0.01,100,11891,0.5,0.9994391798973083,0.0005696712178178132,0.023867786194320853,0.09845560044050217
5,380,2,0.01,100,11891,0.5,0.9994269013404846,0.0005821526283398271,0.024127839280379565,0.11814860999584198
6,380,2,0.01,100,11891,0.5,0.9994731545448303,0.0005351689178496599,0.02313371820200246,0.11912007629871368
7,380,2,0.01,100,11891,0.5,0.9996356964111328,0.0003700985398609191,0.0192379453128685,0.10284065455198288
8,380,2,0.01,100,11891,0.5,0.9995529651641846,0.0004541223170235753,0.02131014587053724,0.10267717391252518
9,380,2,0.01,100,11891,0.5,0.9994739890098572,0.0005343153607100248,0.02311526250575634,0.09810636192560196
10,380,2,0.01,100,11891,0.5,0.9994455575942993,0.0005632169195450842,0.023732191629621657,0.12887762486934662
11,380,2,0.01,100,11891,0.5,0.9992685914039612,0.0007430172408930957,0.027258342592554958,0.11324798315763474
12,380,2,0.01,100,11891,0.5,0.9995377659797668,0.00046954903518781066,0.02166908016478343,0.1493818461894989
13,380,2,0.01,100,11891,0.5,0.9996715784072876,0.0003336269874125719,0.018265458861265214,0.09060046821832657
14,380,2,0.01,100,11891,0.5,0.9992809891700745,0.0007303862366825342,0.027025658857510473,0.1388666033744812
15,380,2,0.01,100,11891,0.5,0.9993665218353271,0.0006434849346987903,0.025367004842881832,0.1039978638291359
16,380,2,0.01,100,11891,0.5,0.9996879696846008,0.00031695186044089496,0.017803141869931132,0.09840616583824158
17,380,2,0.01,100,11891,0.5,0.9995858669281006,0.00042068769107572734,0.020510672613927788,0.10196967422962189
18,380,2,0.01,100,11891,0.5,0.9996413588523865,0.0003642926749307662,0.019086452654455365,0.08847646415233612
19,380,2,0.01,100,11891,0.5,0.9992747902870178,0.0007366997888311744,0.027142214147544676,0.13656271994113922
20,380,2,0.01,100,11891,0.5,0.9994632005691528,0.0005453159101307392,0.02335200013126797,0.08890093117952347
21,380,2,0.01,100,11891,0.5,0.999647319316864,0.00035826058592647314,0.018927772872857313,0.11211836338043213
22,380,2,0.01,100,11891,0.5,0.9996490478515625,0.0003564913640730083,0.018880978896047958,0.11540007591247559
23,380,2,0.01,100,11891,0.5,0.9985629320144653,0.0014598170528188348,0.038207552300806115,0.18223936855793
24,380,2,0.01,100,11891,0.5,0.9985355138778687,0.001487657194957137,0.03857015938464783,0.20359839498996735
25,380,2,0.01,100,11891,0.5,0.9995469450950623,0.0004602341214194894,0.021453067878965223,0.14879952371120453
26,380,2,0.01,100,11891,0.5,0.9985649585723877,0.001457746489904821,0.038180446434069114,0.19379760324954987
27,380,2,0.01,100,11891,0.5,0.9995948672294617,0.0004115366318728775,0.02028636566447715,0.107500359416008
28,380,2,0.01,100,11891,0.5,0.9995893836021423,0.00041713411337696016,0.020423861372839372,0.1838245391845703
29,380,2,0.01,100,11891,0.5,0.9995041489601135,0.0005036725779064,0.02244265086629474,0.10104628652334213
30,380,2,0.01,100,11891,0.5,0.9996690154075623,0.0003362527641002089,0.018337196189718016,0.14593352377414703
1,380,2,0.01,100,23783,1.0,0.9997414946556091,0.00026261722086928785,0.016205468856817683,0.12286430597305298
2,380,2,0.01,100,23783,1.0,0.9997840523719788,0.0002193718682974577,0.014811207523272965,0.06014883145689964
3,380,2,0.01,100,23783,1.0,0.9993023872375488,0.0007086506811901927,0.026620493631602564,0.1292775422334671
4,380,2,0.01,100,23783,1.0,0.9994648694992065,0.0005436124047264457,0.023315497093702415,0.15737521648406982
5,380,2,0.01,100,23783,1.0,0.9996400475502014,0.0003656433254946023,0.019121802359992175,0.09931065887212753
6,380,2,0.01,100,23783,1.0,0.9996623992919922,0.00034292464260943234,0.018518224607381572,0.06456094980239868
7,380,2,0.01,100,23783,1.0,0.9997003078460693,0.0003044338955078274,0.017448034144505433,0.09610763937234879
8,380,2,0.01,100,23783,1.0,0.9998012185096741,0.00020191646763123572,0.014209731441207315,0.0836961418390274
9,380,2,0.01,100,23783,1.0,0.9997721910476685,0.00023139029508456588,0.015211518500286745,0.09985289722681046
10,380,2,0.01,100,23783,1.0,0.9992461800575256,0.0007657777168788016,0.027672689007011978,0.11895133554935455
11,380,2,0.01,100,23783,1.0,0.9997841715812683,0.0002192471147282049,0.014806995465934503,0.08092893660068512
12,380,2,0.01,100,23783,1.0,0.9993078112602234,0.0007031689747236669,0.026517333476872573,0.1774997115135193
13,380,2,0.01,100,23783,1.0,0.9996785521507263,0.0003265347331762314,0.018070272083624845,0.08430283516645432
14,380,2,0.01,100,23783,1.0,0.9993476867675781,0.0006626130198128521,0.025741270749767817,0.09813974797725677
15,380,2,0.01,100,23783,1.0,0.9995712041854858,0.0004355900455266237,0.02087079407992479,0.15403831005096436
16,380,2,0.01,100,23783,1.0,0.9997448921203613,0.0002591200463939458,0.01609720616734301,0.06984307616949081
17,380,2,0.01,100,23783,1.0,0.999485194683075,0.0005229483940638602,0.02286806493920857,0.10170519351959229
18,380,2,0.01,100,23783,1.0,0.9996299147605896,0.0003759365063160658,0.019389082142176453,0.07296133041381836
19,380,2,0.01,100,23783,1.0,0.9998048543930054,0.00019825897470582277,0.014080446537870266,0.06899634003639221
20,380,2,0.01,100,23783,1.0,0.9995185136795044,0.0004890941781923175,0.022115473727512994,0.08367834985256195
21,380,2,0.01,100,23783,1.0,0.9997155666351318,0.0002889433817472309,0.0169983346757037,0.06647203117609024
22,380,2,0.01,100,23783,1.0,0.9997672438621521,0.00023643441090825945,0.015376423866044387,0.07671941816806793
23,380,2,0.01,100,23783,1.0,0.9998036026954651,0.0001995069469558075,0.01412469280925456,0.07628059387207031
24,380,2,0.01,100,23783,1.0,0.9997155666351318,0.00028891520923934877,0.016997505971152026,0.08279290050268173
25,380,2,0.01,100,23783,1.0,0.999707818031311,0.00029682370950467885,0.01722857247437172,0.0718165785074234
26,380,2,0.01,100,23783,1.0,0.9994521737098694,0.000556499813683331,0.023590248275152405,0.18157291412353516
27,380,2,0.01,100,23783,1.0,0.9998027682304382,0.00020032715110573918,0.014153697435855381,0.07295091450214386
28,380,2,0.01,100,23783,1.0,0.9996769428253174,0.0003281849203631282,0.018115874816390407,0.06943831592798233
29,380,2,0.01,100,23783,1.0,0.9995837211608887,0.00042288421536795795,0.020564148787828734,0.12277773767709732
30,380,2,0.01,100,23783,1.0,0.999752938747406,0.0002509696932975203,0.01584202301783204,0.09315602481365204
