seed,max_neurons,layers,learn_rate,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,46,0.9984558820724487,0.0015701539814472198,0.0396251685352532,0.1456146389245987
1,350,1,0.01,47,0.9996209144592285,0.00038550939643755555,0.019634393202682773,0.14436523616313934
1,350,1,0.01,48,0.9996381402015686,0.0003679620276670903,0.019182336345374886,0.10855472087860107
1,350,1,0.01,49,0.9987066388130188,0.0013151729945093393,0.03626531393093598,0.1958451271057129
1,350,1,0.01,50,0.9996285438537598,0.0003777233068831265,0.01943510501343192,0.11028636991977692
1,350,1,0.01,51,0.9989954829216003,0.0010214353678748012,0.031959902501021514,0.1466609537601471
1,350,1,0.01,52,0.9992819428443909,0.0007301718578673899,0.02702169235757431,0.12678085267543793
1,350,1,0.01,53,0.999563992023468,0.0004433378344401717,0.021055589149681177,0.08697260916233063
1,350,1,0.01,54,0.9988727569580078,0.001146262395195663,0.03385649708985947,0.20518730580806732
1,350,1,0.01,55,0.9990245699882507,0.0009918888099491596,0.03149426630275993,0.16740106046199799
1,350,1,0.01,56,0.9995612502098083,0.0004461351491045207,0.021121911587366347,0.10454075783491135
1,350,1,0.01,57,0.9995504021644592,0.0004571980098262429,0.021382189079377324,0.10468067973852158
1,350,1,0.01,58,0.9995455741882324,0.0004621105908881873,0.021496757683152762,0.1025993824005127
1,350,1,0.01,59,0.9987226128578186,0.0012989192036911845,0.036040521690053055,0.14253588020801544
1,350,1,0.01,60,0.9996448755264282,0.0003611431457102299,0.019003766619021343,0.10396616160869598
1,350,1,0.01,61,0.9995881915092468,0.00041873709415085614,0.020463066587167626,0.09003278613090515
1,350,1,0.01,62,0.9994872212409973,0.000521414156537503,0.022834494882469,0.08250286430120468
1,350,1,0.01,63,0.999552845954895,0.00045471309567801654,0.021324002806181033,0.08151984959840775
1,350,1,0.01,64,0.9994879364967346,0.0005207154899835587,0.02281919126488839,0.11222286522388458
1,350,1,0.01,65,0.9994558691978455,0.0005533156218007207,0.023522661877447473,0.09196169674396515
1,350,1,0.01,66,0.9983712434768677,0.0016562233213335276,0.04069672371743858,0.13364997506141663
1,350,1,0.01,67,0.9990823864936829,0.0009330933098681271,0.03054657607438397,0.1514192670583725
1,350,1,0.01,68,0.9993184804916382,0.0006930087693035603,0.0263250597207976,0.12474015355110168
1,350,1,0.01,69,0.9994664788246155,0.0005424970295280218,0.02329156563067459,0.13598792254924774
1,350,1,0.01,70,0.9996192455291748,0.0003871486696880311,0.019676093862553895,0.08754752576351166
1,350,1,0.01,71,0.9987168908119202,0.0013047823449596763,0.03612177106620987,0.12456302344799042
1,350,1,0.01,72,0.9993382692337036,0.0006729242159053683,0.025940782869939918,0.13270097970962524
1,350,1,0.01,73,0.9993091821670532,0.0007024971419014037,0.02650466264454999,0.10442899912595749
1,350,1,0.01,74,0.9991602301597595,0.000853937934152782,0.02922221644832544,0.15329042077064514
1,350,1,0.01,75,0.9996282458305359,0.0003780070401262492,0.019442403146891312,0.106435127556324
1,350,1,0.01,76,0.9994626641273499,0.0005463800043798983,0.023374772819856417,0.10870710760354996
1,350,1,0.01,77,0.9992538094520569,0.0007587715517729521,0.0275458082432328,0.13683681190013885
1,350,1,0.01,78,0.9994796514511108,0.0005290971603244543,0.023002112083990337,0.13346824049949646
1,350,1,0.01,79,0.9993934035301208,0.0006168042309582233,0.024835543701683345,0.11204005032777786
1,350,1,0.01,80,0.9994704723358154,0.0005384465330280364,0.02320445071593026,0.11705697327852249
1,350,1,0.01,81,0.9995478391647339,0.0004597936349455267,0.021442799139700177,0.11348971724510193
