seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
25,400,1,0.01,100,5945,0.25,0.9993932843208313,0.0006163294892758131,0.024825984155231653,0.16122405230998993
26,400,1,0.01,100,5945,0.25,0.9993751049041748,0.0006347672315314412,0.025194587345924942,0.18471574783325195
27,400,1,0.01,100,5945,0.25,0.9991854429244995,0.0008274760912172496,0.02876588415497166,0.18092882633209229
28,400,1,0.01,100,5945,0.25,0.9993019700050354,0.0007090723956935108,0.026628413315357542,0.10985414683818817
29,400,1,0.01,100,5945,0.25,0.9989662170410156,0.001050155027769506,0.03240609553416619,0.1253535896539688
30,400,1,0.01,100,5945,0.25,0.9994723200798035,0.0005360135692171752,0.023151966854182717,0.11655788868665695
1,400,1,0.01,100,11891,0.5,0.9991399049758911,0.0008736851741559803,0.02955816594709456,0.13091778755187988
2,400,1,0.01,100,11891,0.5,0.9997243285179138,0.0002800073125399649,0.01673341903317923,0.10713691264390945
3,400,1,0.01,100,11891,0.5,0.9995276927947998,0.00047976855421438813,0.021903619660101573,0.07937048375606537
4,400,1,0.01,100,11891,0.5,0.9996286630630493,0.00037722225533798337,0.01942221036179928,0.09016609191894531
5,400,1,0.01,100,11891,0.5,0.9997559785842896,0.0002478912938386202,0.015744563945648677,0.09553980827331543
6,400,1,0.01,100,11891,0.5,0.9994159936904907,0.000593265809584409,0.024357048457980476,0.14906667172908783
7,400,1,0.01,100,11891,0.5,0.9995867609977722,0.00041976943612098694,0.02048827557704618,0.10373618453741074
8,400,1,0.01,100,11891,0.5,0.999596357345581,0.0004100170044694096,0.020248876622405737,0.11163127422332764
9,400,1,0.01,100,11891,0.5,0.9996337294578552,0.000372095440980047,0.019289775555460645,0.10111632198095322
10,400,1,0.01,100,11891,0.5,0.9996806979179382,0.0003243697283323854,0.01801026730319085,0.094306081533432
11,400,1,0.01,100,11891,0.5,0.9997465014457703,0.000257527717621997,0.01604767016180221,0.08367902785539627
12,400,1,0.01,100,11891,0.5,0.9997281432151794,0.000276156555628404,0.016617958828580724,0.09076444804668427
13,400,1,0.01,100,11891,0.5,0.9989132285118103,0.0011039602104574442,0.033225896684024106,0.17685732245445251
14,400,1,0.01,100,11891,0.5,0.9997482299804688,0.0002557281113695353,0.015991501223135224,0.13763545453548431
15,400,1,0.01,100,11891,0.5,0.9996522068977356,0.00035332751576788723,0.018797008160020764,0.0773368626832962
16,400,1,0.01,100,11891,0.5,0.9996936321258545,0.00031122248037718236,0.017641498813229628,0.07633419334888458
17,400,1,0.01,100,11891,0.5,0.9997768998146057,0.00022664922289550304,0.01505487372565785,0.08109118789434433
18,400,1,0.01,100,11891,0.5,0.9993045330047607,0.0007064922247081995,0.026579921457901255,0.09145421534776688
19,400,1,0.01,100,11891,0.5,0.9997366070747375,0.00026753664133138955,0.016356547353625385,0.06424953788518906
20,400,1,0.01,100,11891,0.5,0.9993634819984436,0.000646580767352134,0.02542795248053083,0.1436707079410553
21,400,1,0.01,100,11891,0.5,0.9992378950119019,0.0007741868612356484,0.027824213578026755,0.10626167804002762
22,400,1,0.01,100,11891,0.5,0.9991865158081055,0.0008263473864644766,0.028746258651596326,0.1551428884267807
23,400,1,0.01,100,11891,0.5,0.9994098544120789,0.0005994918756186962,0.024484523185447093,0.12882933020591736
24,400,1,0.01,100,11891,0.5,0.9996383786201477,0.00036734584136866033,0.019166268321419804,0.07471708208322525
25,400,1,0.01,100,11891,0.5,0.9996942281723022,0.0003106051590293646,0.017623993844454344,0.09198633581399918
26,400,1,0.01,100,11891,0.5,0.9996528625488281,0.0003526549553498626,0.0187791095462448,0.08917572349309921
27,400,1,0.01,100,11891,0.5,0.9975643754005432,0.0024741804227232933,0.04974113411175195,0.24096384644508362
28,400,1,0.01,100,11891,0.5,0.9997973442077637,0.00020583681180141866,0.014347014037820505,0.08067691326141357
29,400,1,0.01,100,11891,0.5,0.9993513226509094,0.0006589402328245342,0.025669831180288937,0.11245297640562057
30,400,1,0.01,100,11891,0.5,0.9996564984321594,0.0003489347000140697,0.01867979389645586,0.0825861394405365
1,400,1,0.01,100,23783,1.0,0.9998111724853516,0.00019182005780749023,0.0138499118339248,0.0719708576798439
2,400,1,0.01,100,23783,1.0,0.9997005462646484,0.0003041699528694153,0.017440468825963805,0.086700439453125
3,400,1,0.01,100,23783,1.0,0.99970942735672,0.00029515213100239635,0.01717999217119718,0.092729851603508
4,400,1,0.01,100,23783,1.0,0.9996860027313232,0.0003189664566889405,0.017859632042372557,0.09388087689876556
5,400,1,0.01,100,23783,1.0,0.9996216297149658,0.0003843852027785033,0.019605744127130276,0.08311203867197037
6,400,1,0.01,100,23783,1.0,0.999657928943634,0.00034749420592561364,0.018641196472480345,0.0911899134516716
7,400,1,0.01,100,23783,1.0,0.9996892213821411,0.00031568235135637224,0.017767452022064735,0.11415129899978638
8,400,1,0.01,100,23783,1.0,0.999556303024292,0.0004507301782723516,0.02123040692667834,0.16255506873130798
9,400,1,0.01,100,23783,1.0,0.9998006224632263,0.00020256362040527165,0.014232484688390556,0.09779055416584015
10,400,1,0.01,100,23783,1.0,0.999635636806488,0.0003701533132698387,0.019239368837616237,0.15921159088611603
11,400,1,0.01,100,23783,1.0,0.9997678399085999,0.000235823928960599,0.01535655980226688,0.10220121592283249
12,400,1,0.01,100,23783,1.0,0.9996077418327332,0.00039848932647146285,0.019962197435940333,0.11540167033672333
13,400,1,0.01,100,23783,1.0,0.9996744990348816,0.0003306691360194236,0.01818431016066938,0.0845324844121933
14,400,1,0.01,100,23783,1.0,0.9997720122337341,0.0002315788296982646,0.015217714338831066,0.08033470064401627
15,400,1,0.01,100,23783,1.0,0.9997550845146179,0.00024877741816453636,0.015772679485887498,0.07743339985609055
16,400,1,0.01,100,23783,1.0,0.9988261461257935,0.001192443072795868,0.03453176903658236,0.1854034662246704
17,400,1,0.01,100,23783,1.0,0.9996193647384644,0.0003866808838211,0.01966420310668856,0.08350373059511185
18,400,1,0.01,100,23783,1.0,0.9994810223579407,0.0005271830013953149,0.02296046605353025,0.13758769631385803
19,400,1,0.01,100,23783,1.0,0.9997357726097107,0.0002684080391190946,0.016383163281829753,0.07995519042015076
20,400,1,0.01,100,23783,1.0,0.9998180270195007,0.00018484066822566092,0.013595612094556866,0.08051690459251404
21,400,1,0.01,100,23783,1.0,0.9992213249206543,0.0007909918203949928,0.028124576803838185,0.1379096657037735
22,400,1,0.01,100,23783,1.0,0.9997146725654602,0.00028981713694520295,0.017024016475121344,0.0976094901561737
23,400,1,0.01,100,23783,1.0,0.9997739195823669,0.00022963000810705125,0.015153547706957973,0.09207595139741898
24,400,1,0.01,100,23783,1.0,0.9994248747825623,0.000584241293836385,0.024171083836609087,0.09763801097869873
25,400,1,0.01,100,23783,1.0,0.9997573494911194,0.00024647830286994576,0.01569962747551501,0.10695912688970566
26,400,1,0.01,100,23783,1.0,0.9997178912162781,0.00028657051734626293,0.016928393820627607,0.10500183701515198
27,400,1,0.01,100,23783,1.0,0.9997750520706177,0.00022851553512737155,0.01511673030543879,0.08903975784778595
28,400,1,0.01,100,23783,1.0,0.9997116327285767,0.00029295479180291295,0.017115922172144655,0.10117919743061066
29,400,1,0.01,100,23783,1.0,0.9994722604751587,0.0005360817885957658,0.023153440102839273,0.09854354709386826
30,400,1,0.01,100,23783,1.0,0.999568521976471,0.0004383028717711568,0.0209356841725117,0.08179030567407608
