seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
9,390,2,0.01,100,6040,0.25,0.9261053204536438,0.08510767668485641,0.29173220028796343,0.14517371356487274
10,390,2,0.01,100,6040,0.25,0.9181978106498718,0.09421509504318237,0.3069447752335628,0.1580478996038437
11,390,2,0.01,100,6040,0.25,0.9202173948287964,0.09188903123140335,0.3031320359701418,0.12375394999980927
12,390,2,0.01,100,6040,0.25,0.9194257259368896,0.09280086308717728,0.30463234084249374,0.11440897732973099
13,390,2,0.01,100,6040,0.25,0.9282822608947754,0.08260038495063782,0.2874028269705046,0.14267252385616302
14,390,2,0.01,100,6040,0.25,0.9170949459075928,0.09548532217741013,0.30900699373543333,0.1544983685016632
15,390,2,0.01,100,6040,0.25,0.9187489151954651,0.09358037263154984,0.3059090921034382,0.14764709770679474
16,390,2,0.01,100,6040,0.25,0.9201727509498596,0.09194047749042511,0.30321688193506824,0.13257965445518494
17,390,2,0.01,100,6040,0.25,0.9152945876121521,0.09755886346101761,0.3123441426712171,0.09191440045833588
18,390,2,0.01,100,6040,0.25,0.9191854000091553,0.09307767450809479,0.30508633943212665,0.11149642616510391
19,390,2,0.01,100,6040,0.25,0.9186009168624878,0.09375084936618805,0.3061876048539327,0.11206384748220444
20,390,2,0.01,100,6040,0.25,0.9210297465324402,0.09095340967178345,0.30158482997621655,0.11261854320764542
21,390,2,0.01,100,6040,0.25,0.9253780245780945,0.08594536781311035,0.29316440406896327,0.13837110996246338
22,390,2,0.01,100,6040,0.25,0.9121354818344116,0.10119730979204178,0.31811524608550557,0.22479510307312012
23,390,2,0.01,100,6040,0.25,0.9209840893745422,0.09100604802370071,0.30167208691508185,0.1324748992919922
24,390,2,0.01,100,6040,0.25,0.9258213639259338,0.08543472737073898,0.29229219519299343,0.15246379375457764
25,390,2,0.01,100,6040,0.25,0.91371750831604,0.09937528520822525,0.3152384576923083,0.1419457644224167
26,390,2,0.01,100,6040,0.25,0.9258273839950562,0.08542779088020325,0.2922803292734618,0.1514705866575241
27,390,2,0.01,100,6040,0.25,0.9186995029449463,0.09363729506731033,0.3060021161157392,0.12616075575351715
28,390,2,0.01,100,6040,0.25,0.921096682548523,0.09087635576725006,0.301457054598578,0.1796877533197403
29,390,2,0.01,100,6040,0.25,0.9201764464378357,0.09193619340658188,0.30320981746404896,0.11546213924884796
30,390,2,0.01,100,6040,0.25,0.9228533506393433,0.08885309845209122,0.2980823685696476,0.1109662726521492
1,390,2,0.01,100,12080,0.5,0.920706033706665,0.09132623672485352,0.3022023109191151,0.09685467928647995
2,390,2,0.01,100,12080,0.5,0.919346034526825,0.09289262443780899,0.3047829136251063,0.10138605535030365
3,390,2,0.01,100,12080,0.5,0.9326308965682983,0.07759186625480652,0.2785531659392988,0.11430375277996063
4,390,2,0.01,100,12080,0.5,0.919589102268219,0.09261269122362137,0.30432333335388756,0.15481236577033997
5,390,2,0.01,100,12080,0.5,0.9343971014022827,0.07555770128965378,0.2748776114740045,0.14174018800258636
6,390,2,0.01,100,12080,0.5,0.9254270792007446,0.0858888253569603,0.2930679534800083,0.09565459191799164
