seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
8,400,1,0.01,100,5761,0.25,0.9972302913665771,0.0026997511740773916,0.05195912984334314,1.1335452795028687
9,400,1,0.01,100,5761,0.25,0.9981788992881775,0.0017750775441527367,0.042131669135612664,0.6956996321678162
10,400,1,0.01,100,5761,0.25,0.9976813793182373,0.0022600500378757715,0.047539983570419664,1.2645729780197144
11,400,1,0.01,100,5761,0.25,0.9981375932693481,0.0018153375713154674,0.04260677846675887,1.0820136070251465
12,400,1,0.01,100,5761,0.25,0.9980882406234741,0.0018634494626894593,0.043167690031891436,0.5041463971138
13,400,1,0.01,100,5761,0.25,0.9977790117263794,0.0021648621186614037,0.046528078819798736,0.5474777221679688
14,400,1,0.01,100,5761,0.25,0.998643696308136,0.0013220440596342087,0.03635992381227179,0.4339025020599365
15,400,1,0.01,100,5761,0.25,0.9982942938804626,0.0016626466531306505,0.04077556441216541,0.3266972005367279
16,400,1,0.01,100,5761,0.25,0.9974206686019897,0.0025141723453998566,0.05014152316593361,0.41154831647872925
17,400,1,0.01,100,5761,0.25,0.9983989596366882,0.0015605888329446316,0.0395042887917835,0.7040860056877136
18,400,1,0.01,100,5761,0.25,0.9975554347038269,0.0023828016128391027,0.0488139489576402,1.7628071308135986
19,400,1,0.01,100,5761,0.25,0.9984472990036011,0.0015134792774915695,0.038903460996312006,0.41879552602767944
20,400,1,0.01,100,5761,0.25,0.9985187649726868,0.0014437924837693572,0.03799726942517524,0.550298810005188
21,400,1,0.01,100,5761,0.25,0.997161865234375,0.0027664429508149624,0.05259698613813307,0.7033827304840088
22,400,1,0.01,100,5761,0.25,0.9981894493103027,0.0017648106440901756,0.04200964941641593,0.9260174036026001
23,400,1,0.01,100,5761,0.25,0.9984012842178345,0.0015583098866045475,0.039475433963473375,0.7703912854194641
24,400,1,0.01,100,5761,0.25,0.996493935585022,0.0034175035543739796,0.058459418012617774,0.7073291540145874
25,400,1,0.01,100,5761,0.25,0.9984797835350037,0.0014818253694102168,0.03849448492200171,0.44721323251724243
26,400,1,0.01,100,5761,0.25,0.9983022809028625,0.0016548048006370664,0.04067929203706803,0.24642759561538696
27,400,1,0.01,100,5761,0.25,0.9978973269462585,0.002049557166174054,0.0452720351450435,0.7727579474449158
28,400,1,0.01,100,5761,0.25,0.9984161853790283,0.0015437984839081764,0.0392912011003504,0.40342527627944946
29,400,1,0.01,100,5761,0.25,0.9985749125480652,0.0013891012640669942,0.037270648828092515,0.3592349886894226
30,400,1,0.01,100,5761,0.25,0.9951109290122986,0.004765561781823635,0.06903304847552102,1.1245492696762085
1,400,1,0.01,100,11523,0.5,0.9983037710189819,0.001653362181968987,0.04066155656106867,0.5468066334724426
2,400,1,0.01,100,11523,0.5,0.9984723329544067,0.0014890593010932207,0.03858833115195863,0.7527828812599182
3,400,1,0.01,100,11523,0.5,0.9954490661621094,0.004436001181602478,0.06660331209183577,0.7740603089332581
