seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
20,400,1,0.01,3,100,11523,0.5,0.9925642013549805,0.007247949484735727,0.08513488993788462,0.6218276023864746
21,400,1,0.01,3,100,11523,0.5,0.9983657598495483,0.0015929355286061764,0.039911596417660074,1.446610927581787
22,400,1,0.01,3,100,11523,0.5,0.997249186038971,0.0026813510339707136,0.05178176352704409,0.7879871726036072
23,400,1,0.01,3,100,11523,0.5,0.9964472651481628,0.0034629872534424067,0.05884715161706985,0.36447638273239136
24,400,1,0.01,3,100,11523,0.5,0.9965488314628601,0.003363961586728692,0.05799966885016407,0.4213828444480896
25,400,1,0.01,3,100,11523,0.5,0.9944460988044739,0.0054135872051119804,0.07357708342352244,0.4180026352405548
26,400,1,0.01,3,100,11523,0.5,0.9970452785491943,0.00288007827475667,0.053666360737026596,0.7071176767349243
27,400,1,0.01,3,100,11523,0.5,0.9985269904136658,0.001435799291357398,0.03789194230119905,0.7665582299232483
28,400,1,0.01,3,100,11523,0.5,0.9931544065475464,0.006672687828540802,0.08168652170671,0.81084805727005
29,400,1,0.01,3,100,11523,0.5,0.9979203343391418,0.002027136506512761,0.045023732703017426,1.0223073959350586
30,400,1,0.01,3,100,11523,0.5,0.9981236457824707,0.0018289487343281507,0.04276621019365816,0.4543972313404083
1,400,1,0.01,3,100,23046,1.0,0.9986287951469421,0.0013365709455683827,0.03655914311862879,0.4038751721382141
2,400,1,0.01,3,100,23046,1.0,0.9985715746879578,0.0013923445949330926,0.03731413398342634,0.6368999481201172
3,400,1,0.01,3,100,23046,1.0,0.9704250693321228,0.028827855363488197,0.16978767730164696,0.8547255396842957
4,400,1,0.01,3,100,23046,1.0,0.9985016584396362,0.0014604999450966716,0.03821648786972282,0.2581668198108673
5,400,1,0.01,3,100,23046,1.0,0.9972869753837585,0.0026444708928465843,0.051424419227119954,0.8405957221984863
6,400,1,0.01,3,100,23046,1.0,0.9964224100112915,0.0034871960524469614,0.05905248557382629,1.4191323518753052
7,400,1,0.01,3,100,23046,1.0,0.9987031817436218,0.001264088088646531,0.035554016491059506,0.34904614090919495
8,400,1,0.01,3,100,23046,1.0,0.993622362613678,0.00621655210852623,0.0788451146776148,1.4116711616516113
9,400,1,0.01,3,100,23046,1.0,0.9988370537757874,0.0011335446033626795,0.03366815414249316,0.6534485220909119
10,400,1,0.01,3,100,23046,1.0,0.9985931515693665,0.001371307298541069,0.03703116658358293,0.3406878709793091
11,400,1,0.01,3,100,23046,1.0,0.9983596205711365,0.0015989457024261355,0.039986819108627975,0.3127063810825348
12,400,1,0.01,3,100,23046,1.0,0.9983228445053101,0.0016347963828593493,0.04043261533538672,0.42074888944625854
13,400,1,0.01,3,100,23046,1.0,0.9986423254013062,0.0013233852805569768,0.03637836280753955,0.6743297576904297
14,400,1,0.01,3,100,23046,1.0,0.9978481531143188,0.002097498858347535,0.045798459126345455,0.4666892886161804
15,400,1,0.01,3,100,23046,1.0,0.9982345700263977,0.00172080856282264,0.041482629651730614,0.39190948009490967
16,400,1,0.01,3,100,23046,1.0,0.9988899230957031,0.0010820607421919703,0.03289469170233961,0.6130340099334717
17,400,1,0.01,3,100,23046,1.0,0.998579740524292,0.001384359085932374,0.037206976307305246,0.3238261938095093
18,400,1,0.01,3,100,23046,1.0,0.9979322552680969,0.002015516394749284,0.04489450294578707,1.2003871202468872
19,400,1,0.01,3,100,23046,1.0,0.9988605976104736,0.0011106044985353947,0.03332573327828504,0.8827095031738281
20,400,1,0.01,3,100,23046,1.0,0.9988902807235718,0.0010817107977345586,0.032889372109156455,0.34293487668037415
21,400,1,0.01,3,100,23046,1.0,0.9978853464126587,0.0020612420048564672,0.045400903128202934,0.34936726093292236
22,400,1,0.01,3,100,23046,1.0,0.9984161853790283,0.001543829683214426,0.03929159812497356,0.5431303977966309
23,400,1,0.01,3,100,23046,1.0,0.9977900981903076,0.002154061570763588,0.04641186885661455,1.0511890649795532
24,400,1,0.01,3,100,23046,1.0,0.9968349933624268,0.0030850814655423164,0.0555435096617266,0.2787935137748718
25,400,1,0.01,3,100,23046,1.0,0.9968104362487793,0.0031089906115084887,0.05575832324871766,0.33294734358787537
26,400,1,0.01,3,100,23046,1.0,0.9970770478248596,0.002849102020263672,0.05337698024676622,1.0434210300445557
27,400,1,0.01,3,100,23046,1.0,0.9988834857940674,0.0010883300565183163,0.03298984777955661,0.46432241797447205
28,400,1,0.01,3,100,23046,1.0,0.9985911846160889,0.001373232458718121,0.037057151249362395,0.31127017736434937
29,400,1,0.01,3,100,23046,1.0,0.9983862042427063,0.001573048997670412,0.03966168173023444,0.752348005771637
30,400,1,0.01,3,100,23046,1.0,0.9988815784454346,0.0010901977075263858,0.03301814209682891,0.33218976855278015
