seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
19,390,2,0.01,100,5945,0.25,0.9991288185119629,0.0008858894580043852,0.029763895208866485,0.1439167559146881
20,390,2,0.01,100,5945,0.25,0.9984050393104553,0.001621877308934927,0.040272537900347516,0.1643766462802887
21,390,2,0.01,100,5945,0.25,0.9986848831176758,0.0013373303227126598,0.03656952724212688,0.12178990244865417
22,390,2,0.01,100,5945,0.25,0.9986633062362671,0.0013592728646472096,0.03686831789826069,0.15839728713035583
23,390,2,0.01,100,5945,0.25,0.9990327954292297,0.000983519828878343,0.03136111970064754,0.21600715816020966
24,390,2,0.01,100,5945,0.25,0.9981853365898132,0.00184529647231102,0.04295691413859962,0.19712533056735992
25,390,2,0.01,100,5945,0.25,0.9990091323852539,0.0010075888130813837,0.03174253948696266,0.1261710226535797
26,390,2,0.01,100,5945,0.25,0.9991077780723572,0.0009072677348740399,0.030120885360062705,0.1923082023859024
27,390,2,0.01,100,5945,0.25,0.998835027217865,0.001184652210213244,0.03441877700054498,0.20206961035728455
28,390,2,0.01,100,5945,0.25,0.9989500045776367,0.0010676922975108027,0.03267556116596627,0.14377069473266602
29,390,2,0.01,100,5945,0.25,0.998626708984375,0.0013964328682050109,0.03736887566150487,0.18351896107196808
30,390,2,0.01,100,5945,0.25,0.9967572689056396,0.0032974176574498415,0.057423145659654014,0.23309044539928436
1,390,2,0.01,100,11891,0.5,0.9996188879013062,0.0003875459951814264,0.019686187929140227,0.11596004664897919
2,390,2,0.01,100,11891,0.5,0.997963547706604,0.002070807619020343,0.04550612726897712,0.23965929448604584
3,390,2,0.01,100,11891,0.5,0.9991862773895264,0.0008274252759292722,0.028765000885264583,0.16273938119411469
4,390,2,0.01,100,11891,0.5,0.997502326965332,0.0025398386642336845,0.050396812044351424,0.21144844591617584
5,390,2,0.01,100,11891,0.5,0.998225212097168,0.0018047213088721037,0.042482011591638454,0.2786601781845093
6,390,2,0.01,100,11891,0.5,0.9994380474090576,0.0005714030121453106,0.02390403756994434,0.10976709425449371
7,390,2,0.01,100,11891,0.5,0.9978605508804321,0.002175569301471114,0.04664299841853131,0.21320047974586487
8,390,2,0.01,100,11891,0.5,0.9985714554786682,0.0014526302693411708,0.03811338700956884,0.20592907071113586
9,390,2,0.01,100,11891,0.5,0.9995169639587402,0.0004911795258522034,0.022162570380084602,0.0949968472123146
10,390,2,0.01,100,11891,0.5,0.9993298649787903,0.0006814485532231629,0.026104569585096837,0.10950833559036255
11,390,2,0.01,100,11891,0.5,0.9985795021057129,0.0014444730477407575,0.03800622380269786,0.14203064143657684
12,390,2,0.01,100,11891,0.5,0.9994457960128784,0.0005635704146698117,0.023739638048416233,0.11404108256101608
13,390,2,0.01,100,11891,0.5,0.9995128512382507,0.0004953945172019303,0.022257459810183424,0.127468079328537
14,390,2,0.01,100,11891,0.5,0.9990602731704712,0.0009556042496114969,0.030912849263882113,0.0916924774646759
15,390,2,0.01,100,11891,0.5,0.9989630579948425,0.001054440508596599,0.03247214973783841,0.12582199275493622
16,390,2,0.01,100,11891,0.5,0.9990999102592468,0.0009152868296951056,0.03025370770162073,0.1813877522945404
17,390,2,0.01,100,11891,0.5,0.9990715980529785,0.0009440667927265167,0.030725669931288994,0.1178455799818039
18,390,2,0.01,100,11891,0.5,0.9990954995155334,0.0009197802864946425,0.030327879690058165,0.1623157113790512
19,390,2,0.01,100,11891,0.5,0.9984766244888306,0.0015490942168980837,0.039358534232083436,0.20161126554012299
20,390,2,0.01,100,11891,0.5,0.9980661869049072,0.001966418232768774,0.044344314548415045,0.17895004153251648
21,390,2,0.01,100,11891,0.5,0.999434769153595,0.0005747420364059508,0.023973778100373558,0.1739293485879898
22,390,2,0.01,100,11891,0.5,0.9991009831428528,0.0009141681948676705,0.030235214483573133,0.11487042158842087
23,390,2,0.01,100,11891,0.5,0.9991950392723083,0.0008185586775653064,0.028610464476574064,0.14537657797336578
24,390,2,0.01,100,11891,0.5,0.9989338517189026,0.0010841398034244776,0.032926278311167775,0.14459745585918427
25,390,2,0.01,100,11891,0.5,0.9992392659187317,0.0007735872641205788,0.027813436754931576,0.12258341163396835
26,390,2,0.01,100,11891,0.5,0.9981545209884644,0.0018765829736366868,0.043319544938014834,0.22889693081378937
27,390,2,0.01,100,11891,0.5,0.998457670211792,0.001568333711475134,0.039602193265968665,0.20020641386508942
28,390,2,0.01,100,11891,0.5,0.9992783665657043,0.0007338009309023619,0.027088760231918363,0.1678498238325119
29,390,2,0.01,100,11891,0.5,0.9986887574195862,0.0013333552051335573,0.036515136657741774,0.255188912153244
30,390,2,0.01,100,11891,0.5,0.999280571937561,0.0007315668626688421,0.02704749272425897,0.13291113078594208
1,390,2,0.01,100,23783,1.0,0.9988851547241211,0.0011336480965837836,0.03366969106754298,0.10523008555173874
2,390,2,0.01,100,23783,1.0,0.9995511174201965,0.0004564313276205212,0.02136425350019329,0.14002671837806702
3,390,2,0.01,100,23783,1.0,0.9994970560073853,0.0005114275263622403,0.022614763460231908,0.09196759760379791
4,390,2,0.01,100,23783,1.0,0.9995786547660828,0.00042844165000133216,0.020698832092689003,0.11420059949159622
5,390,2,0.01,100,23783,1.0,0.999526858329773,0.0004811490944121033,0.021935110996119972,0.1391402631998062
6,390,2,0.01,100,23783,1.0,0.9994096755981445,0.0006003042799420655,0.024501107728877595,0.08437991142272949
7,390,2,0.01,100,23783,1.0,0.999222993850708,0.0007901199860498309,0.0281090730201092,0.13066062331199646
8,390,2,0.01,100,23783,1.0,0.9994337558746338,0.0005758206825703382,0.02399626392941906,0.08274288475513458
