ft_neurons,ft_layers,lr,epochs,hys_score,hys_mse,hys_mape,time
140,2,0.0005,100,0.9975802898406982,0.002358574653044343,0.8517265915870667,2026-02-03 13:04:12.313599
150,1,0.001,100,0.9976006150245667,0.0023387460969388485,0.6338286399841309,2026-02-03 13:04:40.843654
150,1,0.0005,100,0.9977740049362183,0.002169762272387743,0.8573558926582336,2026-02-03 13:05:09.180294
150,2,0.001,100,0.9942350387573242,0.005619307979941368,1.0483707189559937,2026-02-03 13:05:41.661962
150,2,0.0005,100,0.9967300295829773,0.0031873565167188644,0.8269612193107605,2026-02-03 13:06:13.946514
160,1,0.001,100,0.9964449405670166,0.00346523174084723,0.7491340637207031,2026-02-03 13:06:42.189852
160,1,0.0005,100,0.9967359304428101,0.0031816090922802687,1.2333687543869019,2026-02-03 13:07:12.758892
160,2,0.001,100,0.9976062774658203,0.0023332417476922274,1.345853328704834,2026-02-03 13:07:48.649437
160,2,0.0005,100,0.9977926015853882,0.002151650143787265,0.4720352292060852,2026-02-03 13:08:24.244962
170,1,0.001,100,0.9910711050033569,0.00870335754007101,1.7063729763031006,2026-02-03 13:08:52.810252
170,1,0.0005,100,0.9971774220466614,0.0027512696105986834,0.7470384836196899,2026-02-03 13:09:21.499827
170,2,0.001,100,0.9977626800537109,0.0021808131132274866,0.43315231800079346,2026-02-03 13:09:54.713718
170,2,0.0005,100,0.9946014881134033,0.005262160208076239,1.8081941604614258,2026-02-03 13:10:28.115520
180,1,0.001,100,0.996898889541626,0.003022761782631278,1.1042728424072266,2026-02-03 13:10:56.955536
180,1,0.0005,100,0.9967738389968872,0.0031446388456970453,0.5661032199859619,2026-02-03 13:11:27.913089
180,2,0.001,100,0.9966117143630981,0.003302719909697771,0.7157495617866516,2026-02-03 13:12:04.186107
180,2,0.0005,100,0.9976286888122559,0.002311430172994733,0.5962012410163879,2026-02-03 13:12:37.330059
190,1,0.001,100,0.997507631778717,0.0024294236209243536,1.270928978919983,2026-02-03 13:13:06.716697
190,1,0.0005,100,0.9974353313446045,0.0024998942390084267,0.6145157814025879,2026-02-03 13:13:36.365409
190,2,0.001,100,0.9976624250411987,0.002278531901538372,0.5469152331352234,2026-02-03 13:14:10.898254
190,2,0.0005,100,0.9954586625099182,0.004426645580679178,0.6043230891227722,2026-02-03 13:14:45.581527
200,1,0.001,100,0.995583176612854,0.0043052248656749725,1.3777023553848267,2026-02-03 13:15:14.970561
200,1,0.0005,100,0.9971028566360474,0.002823931397870183,0.6958733797073364,2026-02-03 13:15:44.404740
200,2,0.001,100,0.9971411228179932,0.00278664892539382,1.38693368434906,2026-02-03 13:16:18.636858
200,2,0.0005,100,0.9968038201332092,0.003115418367087841,0.6588907837867737,2026-02-03 13:16:52.089635
