seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
12,350,1,0.01,3,100,12080,0.5,0.9280667901039124,0.08284856379032135,0.28783426444800025,0.12375879287719727
13,350,1,0.01,3,100,12080,0.5,0.9335886240005493,0.07648883014917374,0.2765661406412103,0.11204313486814499
14,350,1,0.01,3,100,12080,0.5,0.9326179027557373,0.07760687917470932,0.2785801126690657,0.17855846881866455
15,350,1,0.01,3,100,12080,0.5,0.9240428805351257,0.08748310804367065,0.29577543515929555,0.10238246619701385
16,350,1,0.01,3,100,12080,0.5,0.9391623735427856,0.0700693354010582,0.2647061302672422,0.10878705978393555
17,350,1,0.01,3,100,12080,0.5,0.9307070970535278,0.07980763912200928,0.28250245861232653,0.1573180854320526
18,350,1,0.01,3,100,12080,0.5,0.9314016103744507,0.07900773733854294,0.28108315022167896,0.12548939883708954
19,350,1,0.01,3,100,12080,0.5,0.9293598532676697,0.08135925978422165,0.28523544622683494,0.11894729733467102
20,350,1,0.01,3,100,12080,0.5,0.9404105544090271,0.06863169372081757,0.2619765136816993,0.14458782970905304
21,350,1,0.01,3,100,12080,0.5,0.9307370185852051,0.07977312058210373,0.2824413577755633,0.09921478480100632
22,350,1,0.01,3,100,12080,0.5,0.9438996315002441,0.0646132081747055,0.25419128264892465,0.09922534972429276
23,350,1,0.01,3,100,12080,0.5,0.9411746859550476,0.06775166839361191,0.26029150657217365,0.11203797161579132
24,350,1,0.01,3,100,12080,0.5,0.9348908066749573,0.07498906552791595,0.2738413145015119,0.13446460664272308
25,350,1,0.01,3,100,12080,0.5,0.9305218458175659,0.0800209641456604,0.28287976977094065,0.1084156334400177
26,350,1,0.01,3,100,12080,0.5,0.9330699443817139,0.07708623260259628,0.27764407539617386,0.12509706616401672
27,350,1,0.01,3,100,12080,0.5,0.9353453516960144,0.0744655579328537,0.27288378099999583,0.10165654867887497
28,350,1,0.01,3,100,12080,0.5,0.9412787556648254,0.0676317811012268,0.2600611103206837,0.13167326152324677
29,350,1,0.01,3,100,12080,0.5,0.9282914996147156,0.0825897604227066,0.2873843426888574,0.16318535804748535
30,350,1,0.01,3,100,12080,0.5,0.9235361814498901,0.08806667476892471,0.2967602985052494,0.13172796368598938
1,350,1,0.01,3,100,24160,1.0,0.9286928176879883,0.08212751895189285,0.2865789925167106,0.1071845069527626
2,350,1,0.01,3,100,24160,1.0,0.9242967367172241,0.08719069510698318,0.2952807056124446,0.09954783320426941
3,350,1,0.01,3,100,24160,1.0,0.9263852834701538,0.08478524535894394,0.2911790606464413,0.10537148267030716
4,350,1,0.01,3,100,24160,1.0,0.935293972492218,0.07452469319105148,0.2729921119575646,0.09848270565271378
5,350,1,0.01,3,100,24160,1.0,0.9379726648330688,0.07143957912921906,0.2672818346412997,0.0870458334684372
6,350,1,0.01,3,100,24160,1.0,0.9386208653450012,0.07069295644760132,0.26588147067368445,0.08193667978048325
7,350,1,0.01,3,100,24160,1.0,0.9395381212234497,0.06963656842708588,0.26388741619691886,0.0999312624335289
8,350,1,0.01,3,100,24160,1.0,0.9194463491439819,0.0927770808339119,0.30459330398731993,0.10808712244033813
9,350,1,0.01,3,100,24160,1.0,0.9327079057693481,0.07750320434570312,0.2783939732567915,0.10584449768066406
10,350,1,0.01,3,100,24160,1.0,0.9323132038116455,0.07795776426792145,0.27920917654676297,0.11801174283027649
11,350,1,0.01,3,100,24160,1.0,0.9372750520706177,0.07224298268556595,0.2687805474463618,0.10194777697324753
12,350,1,0.01,3,100,24160,1.0,0.9344792366027832,0.07546309381723404,0.2747054673959622,0.08879616856575012
13,350,1,0.01,3,100,24160,1.0,0.9367982745170593,0.0727921649813652,0.26980023161844247,0.11830329895019531
14,350,1,0.01,3,100,24160,1.0,0.9370019435882568,0.07255759090185165,0.2693651627472485,0.08471875637769699
15,350,1,0.01,3,100,24160,1.0,0.9335692524909973,0.07651114463806152,0.2766064797470615,0.1109364926815033
16,350,1,0.01,3,100,24160,1.0,0.9323267340660095,0.07794222235679626,0.27918134313882126,0.10929803550243378
17,350,1,0.01,3,100,24160,1.0,0.9317840933799744,0.07856721431016922,0.2802984379374406,0.08824695646762848
18,350,1,0.01,3,100,24160,1.0,0.9327641725540161,0.0774383544921875,0.2782774775151369,0.14623525738716125
19,350,1,0.01,3,100,24160,1.0,0.9362518191337585,0.07342152297496796,0.27096406214656577,0.139700248837471
20,350,1,0.01,3,100,24160,1.0,0.9402341842651367,0.06883487850427628,0.26236401907326445,0.10821293294429779
21,350,1,0.01,3,100,24160,1.0,0.9423983693122864,0.06634228676557541,0.2575699647970924,0.1298360526561737
22,350,1,0.01,3,100,24160,1.0,0.9439732432365417,0.0645284429192543,0.2540244927546442,0.09423764795064926
23,350,1,0.01,3,100,24160,1.0,0.925226092338562,0.08612030744552612,0.2934626167768667,0.12635363638401031
24,350,1,0.01,3,100,24160,1.0,0.9347763061523438,0.07512089610099792,0.2740819149469697,0.1179184541106224
25,350,1,0.01,3,100,24160,1.0,0.9301022291183472,0.08050429075956345,0.2837327805516371,0.09877226501703262
26,350,1,0.01,3,100,24160,1.0,0.9369871020317078,0.07257463783025742,0.2693968036749089,0.11337240785360336
27,350,1,0.01,3,100,24160,1.0,0.9330145120620728,0.07715007662773132,0.2777590261858853,0.08832161128520966
28,350,1,0.01,3,100,24160,1.0,0.9354978799819946,0.07428987324237823,0.2725616870405271,0.10016972571611404
29,350,1,0.01,3,100,24160,1.0,0.9362962245941162,0.07337035983800888,0.2708696362422501,0.09725957363843918
30,350,1,0.01,3,100,24160,1.0,0.9306193590164185,0.07990866154432297,0.28268120125739343,0.09780673682689667
